Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Year,RegionName,State
0500000US06079,4.6,4.9,5.4,8.0,10.4,5.8,5.7,6.3,4.3,5.3,6.3,6.8,7.1,7.6,3.9,3.3,1.9,2.4,2016,San Luis Obispo County,California
0500000US06081,5.7,5.9,6.0,5.3,5.4,7.1,7.5,7.6,6.7,7.3,7.1,6.8,6.3,5.1,3.5,2.5,1.8,2.3,2016,San Mateo County,California
0500000US06083,6.5,6.5,5.7,8.3,11.1,7.0,6.3,6.0,5.4,5.5,5.7,5.8,5.6,4.8,3.2,2.4,2.1,2.1,2016,Santa Barbara County,California
0500000US06085,6.2,6.4,6.3,5.9,6.3,7.9,7.9,7.3,7.2,7.2,6.9,6.3,5.3,4.1,3.1,2.1,1.6,1.8,2016,Santa Clara County,California
0500000US06087,5.3,5.5,5.5,8.5,10.0,5.9,5.6,6.5,5.3,6.4,6.8,7.1,6.7,5.4,3.9,2.7,1.4,1.5,2016,Santa Cruz County,California
0500000US06089,5.9,5.7,6.3,6.1,5.8,6.2,6.0,5.3,5.3,5.7,6.6,7.0,7.8,6.8,5.1,3.9,2.6,1.8,2016,Shasta County,California
0500000US06095,6.2,6.2,6.2,6.1,6.9,7.6,7.0,6.6,5.6,6.3,7.0,7.0,6.5,5.4,3.5,2.4,1.5,1.9,2016,Solano County,California
0500000US06097,5.1,5.6,6.0,5.8,6.0,6.6,6.4,6.2,6.2,6.4,7.0,6.7,7.9,7.2,4.0,2.8,1.8,2.4,2016,Sonoma County,California
0500000US06099,7.3,7.3,8.0,7.2,6.9,7.5,7.0,6.4,5.9,6.1,6.2,5.9,5.3,3.9,3.5,2.3,1.5,1.5,2016,Stanislaus County,California
0500000US06101,6.8,7.2,7.7,7.2,7.1,6.7,5.6,6.7,6.0,6.1,6.0,5.5,6.3,4.9,2.9,2.2,2.8,2.2,2016,Sutter County,California
0500000US06107,8.6,8.8,8.9,8.0,7.3,7.3,6.7,6.4,6.0,5.7,5.6,5.4,4.5,3.7,2.7,2.0,1.3,1.2,2016,Tulare County,California
0500000US06111,6.1,6.6,6.7,6.8,7.0,6.8,6.4,6.3,6.1,6.7,7.0,6.8,6.2,5.0,3.5,2.5,1.6,2.0,2016,Ventura County,California
0500000US06113,5.8,6.4,5.4,9.4,13.8,7.5,6.3,6.9,5.2,5.3,5.3,5.6,5.0,4.5,2.5,1.8,1.4,1.8,2016,Yolo County,California
0500000US06115,7.6,8.7,7.6,6.3,7.3,8.3,8.0,6.7,5.1,5.4,6.2,5.9,6.1,5.2,1.7,1.4,1.0,1.5,2016,Yuba County,California
0500000US08001,7.3,7.5,8.1,6.7,6.5,7.8,8.2,7.5,6.9,6.7,6.0,6.1,4.5,3.9,2.4,1.6,1.0,1.0,2016,Adams County,Colorado
0500000US08005,6.4,6.9,6.8,6.1,6.4,7.6,7.6,6.7,7.4,6.7,6.6,6.8,5.5,4.9,2.9,2.2,1.2,1.4,2016,Arapahoe County,Colorado
0500000US08013,4.8,5.2,6.1,8.0,10.4,7.3,6.1,6.4,6.3,6.7,6.5,6.8,5.9,5.3,2.9,2.3,1.5,1.3,2016,Boulder County,Colorado
0500000US08014,5.7,6.0,7.4,5.5,7.2,7.0,7.3,6.3,8.1,7.9,7.1,5.5,6.1,5.1,2.9,1.8,1.3,1.7,2016,Broomfield County,Colorado
0500000US08031,6.4,6.1,5.1,4.9,6.2,11.5,11.1,8.6,7.1,6.3,5.5,5.2,5.0,3.9,2.8,1.8,1.2,1.4,2016,Denver County,Colorado
